test_id,algorithm,category,difficulty,response_success,overall_score,vulnerability_score,decryption_score,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count
aes_gcm_040,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_041,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_042,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,1
aes_gcm_043,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,0.98,3,0
aes_gcm_044,AES-GCM,modern_symmetric,very_hard,True,0.3375,0.5,0.0,0.75,1.0,3,0
aes_gcm_045,AES-GCM,modern_symmetric,very_hard,True,0.42500000000000004,0.5,0.2,0.8,1.0,3,0
aes_gcm_046,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_047,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_048,AES-GCM,modern_symmetric,very_hard,True,0.34500000000000003,0.5,0.0,0.8,0.98,4,0
aes_gcm_049,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_050,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_051,AES-GCM,modern_symmetric,very_hard,True,0.33,0.5,0.0,0.7,1.0,3,2
aes_gcm_052,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_053,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,4,0
aes_gcm_054,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,0.95,3,0
aes_gcm_055,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_056,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_057,AES-GCM,modern_symmetric,very_hard,True,0.34500000000000003,0.5,0.0,0.8,1.0,3,0
aes_gcm_058,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_059,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_cbc_000,AES-CBC,modern_symmetric,hard,True,0.36000000000000004,0.5,0.0,0.9,0.98,3,2
aes_cbc_001,AES-CBC,modern_symmetric,hard,True,0.44166666666666665,0.5,0.16666666666666666,1.0,1.0,3,3
aes_cbc_002,AES-CBC,modern_symmetric,hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_cbc_003,AES-CBC,modern_symmetric,hard,True,0.36000000000000004,0.5,0.0,0.9,0.95,3,3
aes_cbc_004,AES-CBC,modern_symmetric,hard,True,0.375,0.5,0.0,1.0,0.98,3,3
aes_cbc_005,AES-CBC,modern_symmetric,hard,True,0.375,0.5,0.0,1.0,1.0,4,2
aes_cbc_006,AES-CBC,modern_symmetric,hard,True,0.375,0.5,0.0,1.0,1.0,3,2
aes_cbc_007,AES-CBC,modern_symmetric,hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,3
aes_cbc_008,AES-CBC,modern_symmetric,hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,3
aes_cbc_009,AES-CBC,modern_symmetric,hard,True,0.4266666666666667,0.5,0.16666666666666666,0.9,0.98,3,2
aes_cbc_010,AES-CBC,modern_symmetric,hard,True,0.34500000000000003,0.5,0.0,0.8,1.0,3,3
aes_cbc_011,AES-CBC,modern_symmetric,hard,True,0.34500000000000003,0.5,0.0,0.8,1.0,3,3
aes_cbc_012,AES-CBC,modern_symmetric,hard,True,0.35357142857142865,0.5,0.0,0.8571428571428572,1.0,3,3
